Date,Adj Close,Close,High,Low,Open,Volume
2019-01-11,1368.998779296875,1458.0,1489.0,1447.0,1457.0,452600
2019-01-15,1369.9378662109375,1459.0,1471.0,1401.0,1417.5,502400
2019-01-16,1364.7735595703125,1453.5,1485.0,1434.0,1474.5,257200
2019-01-17,1345.9945068359375,1433.5,1466.0,1421.5,1446.5,361400
2019-01-18,1471.81494140625,1567.5,1585.0,1444.5,1449.5,1363200
2019-01-21,1455.3828125,1550.0,1645.0,1545.0,1602.5,642600
2019-01-22,1450.688232421875,1545.0,1582.5,1532.5,1562.5,357000
2019-01-23,1424.866943359375,1517.5,1552.5,1480.0,1512.5,491800
2019-01-24,1565.7103271484375,1667.5,1675.0,1499.5,1500.0,1132600
2019-01-25,1610.310791015625,1715.0,1737.5,1657.5,1687.5,1293000
2019-01-28,1619.700439453125,1725.0,1745.0,1690.0,1715.0,568200
2019-01-29,1626.7423095703125,1732.5,1740.0,1672.5,1702.5,1043800
2019-01-30,1636.132080078125,1742.5,1782.5,1730.0,1730.0,908400
2019-01-31,1671.3427734375,1780.0,1797.5,1765.0,1777.5,619000
2019-02-01,1640.826904296875,1747.5,1807.5,1720.0,1777.5,684200
2019-02-04,1708.9013671875,1820.0,1825.0,1775.0,1775.0,1096600
2019-02-05,1899.0399169921875,2022.5,2030.0,1872.5,1895.0,3354200
2019-02-06,1988.2408447265625,2117.5,2150.0,2047.5,2047.5,2270600
2019-02-07,2030.49365234375,2162.5,2187.5,2120.0,2150.0,1961400
2019-02-08,2028.146728515625,2160.0,2167.5,2067.5,2122.5,1606800
2019-02-12,2002.3253173828125,2132.5,2192.5,2117.5,2170.0,1283200
2019-02-13,2070.399658203125,2205.0,2230.0,2147.5,2167.5,1278000
2019-02-14,2070.399658203125,2205.0,2212.5,2147.5,2185.0,777000
2019-02-15,2011.71484375,2142.5,2220.0,2140.0,2217.5,750400
2019-02-18,2039.8834228515625,2172.5,2210.0,2137.5,2197.5,749800
2019-02-19,2023.451904296875,2155.0,2182.5,2132.5,2150.0,560400
2019-02-20,1943.6402587890625,2070.0,2142.5,2052.5,2140.0,1060600
2019-02-21,1913.1240234375,2037.5,2107.5,2035.0,2080.0,1210800
2019-02-22,1908.4295654296875,2032.5,2082.5,1997.5,2015.0,994800
2019-02-25,1934.2508544921875,2060.0,2137.5,2057.5,2072.5,1135600
2019-02-26,1915.4718017578125,2040.0,2102.5,2027.5,2075.0,914000
2019-02-27,1920.1663818359375,2045.0,2087.5,2032.5,2065.0,620800
2019-02-28,1838.0076904296875,1957.5,2052.5,1947.5,2045.0,1142600
2019-03-01,1955.377197265625,2082.5,2110.0,2027.5,2027.5,1225800
2019-03-04,2053.9677734375,2187.5,2192.5,2110.0,2110.0,1430600
2019-03-05,1985.893798828125,2115.0,2177.5,2095.0,2152.5,796800
2019-03-06,2021.1044921875,2152.5,2157.5,2082.5,2097.5,502800
2019-03-07,1995.2828369140625,2125.0,2135.0,2062.5,2117.5,820200
2019-03-08,1906.082275390625,2030.0,2072.5,1990.0,2070.0,1036400
2019-03-11,1929.5560302734375,2055.0,2070.0,1997.5,2045.0,527200
2019-03-12,2032.8411865234375,2165.0,2182.5,2120.0,2160.0,938600
2019-03-13,2025.7987060546875,2157.5,2210.0,2150.0,2150.0,862000
2019-03-14,1974.156494140625,2102.5,2150.0,2050.0,2137.5,686600
2019-03-15,2016.4097900390625,2147.5,2170.0,2097.5,2145.0,711000
2019-03-18,2021.1044921875,2152.5,2207.5,2150.0,2182.5,500200
2019-03-19,2039.8834228515625,2172.5,2177.5,2110.0,2160.0,474000
2019-03-20,2122.0419921875,2260.0,2275.0,2152.5,2180.0,1347400
2019-03-22,2300.443603515625,2450.0,2477.5,2275.0,2275.0,2320200
2019-03-25,2237.06396484375,2382.5,2392.5,2345.0,2380.0,1239600
2019-03-26,2190.11669921875,2332.5,2355.0,2287.5,2345.0,1013600
2019-03-27,2107.9580078125,2245.0,2277.5,2195.0,2265.0,1725800
2019-03-28,2138.473876953125,2277.5,2282.5,2135.0,2205.0,1130800
2019-03-29,2171.337646484375,2312.5,2345.0,2292.5,2310.0,825600
2019-04-01,2258.1904296875,2405.0,2435.0,2377.5,2380.0,907800
2019-04-02,2291.0546875,2440.0,2470.0,2420.0,2427.5,935200
2019-04-03,2370.865966796875,2525.0,2535.0,2412.5,2412.5,855000
2019-04-04,2417.813720703125,2575.0,2625.0,2560.0,2570.0,923600
2019-04-05,2431.897705078125,2590.0,2600.0,2525.0,2540.0,670000
2019-04-08,2427.203369140625,2585.0,2625.0,2565.0,2615.0,574600
2019-04-09,2422.50830078125,2580.0,2635.0,2575.0,2605.0,550800
2019-04-10,2370.865966796875,2525.0,2580.0,2510.0,2540.0,1109200
2019-04-11,2361.47607421875,2515.0,2550.0,2505.0,2530.0,487000
2019-04-12,2347.3916015625,2500.0,2550.0,2492.5,2550.0,713000
2019-04-15,2384.9501953125,2540.0,2580.0,2530.0,2580.0,703600
2019-04-16,2352.086181640625,2505.0,2555.0,2495.0,2555.0,679400
2019-04-17,2309.833251953125,2460.0,2505.0,2437.5,2500.0,1281000
2019-04-18,2276.97021484375,2425.0,2462.5,2385.0,2425.0,2124000
2019-04-19,2340.349609375,2492.5,2535.0,2472.5,2497.5,962800
2019-04-22,2321.570068359375,2472.5,2545.0,2465.0,2545.0,644000
2019-04-23,2305.138916015625,2455.0,2495.0,2437.5,2470.0,692200
2019-04-24,2326.26513671875,2477.5,2525.0,2457.5,2475.0,926800
2019-04-25,2403.729248046875,2560.0,2580.0,2492.5,2515.0,834800
2019-04-26,2361.47607421875,2515.0,2535.0,2415.0,2525.0,1336000
2019-05-07,2140.82080078125,2280.0,2437.5,2217.5,2375.0,2310200
2019-05-08,2208.895263671875,2352.5,2380.0,2245.0,2257.5,1147600
2019-05-09,2140.82080078125,2280.0,2372.5,2275.0,2335.0,873200
2019-05-10,2154.90576171875,2295.0,2322.5,2240.0,2265.0,1087400
2019-05-13,2002.3253173828125,2132.5,2235.0,2127.5,2227.5,1240000
2019-05-14,1990.5882568359375,2120.0,2140.0,2020.0,2027.5,1416400
2019-05-15,2016.4097900390625,2147.5,2162.5,2080.0,2145.0,668400
2019-05-16,1967.1142578125,2095.0,2172.5,2082.5,2165.0,508800
2019-05-17,1988.2408447265625,2117.5,2167.5,2110.0,2130.0,712200
2019-05-20,1927.208740234375,2052.5,2147.5,2050.0,2132.5,510400
2019-05-21,1908.4295654296875,2032.5,2050.0,1957.5,2012.5,1109200
2019-05-22,1908.4295654296875,2032.5,2110.0,2032.5,2080.0,852000
2019-05-23,1802.796875,1920.0,1987.5,1912.5,1987.5,1014400
2019-05-24,1807.4915771484375,1925.0,1940.0,1860.0,1892.5,931200
2019-05-27,1800.4493408203125,1917.5,1935.0,1897.5,1900.0,357200
2019-05-28,1821.5760498046875,1940.0,1955.0,1900.0,1912.5,613600
2019-05-29,1821.5760498046875,1940.0,1947.5,1900.0,1925.0,573200
2019-05-30,1751.1544189453125,1865.0,1885.0,1825.0,1860.0,1767400
2019-05-31,1784.017822265625,1900.0,1920.0,1850.0,1867.5,1093600
